Logging to: LOGGER45.CSV
270000, "2000/1/1 0:0:0", -5.22, 4.04, -52.40, 4.04, , 4.15, 209.96, 0.87
274999, "2000/1/1 0:0:0", -6.52, 4.01, -60.60, 4.01, , 4.15, 209.96, 0.87
279999, "2000/1/1 0:0:0", -5.21, 4.04, -52.40, 4.04, , 4.15, 209.96, 0.87
284999, "2000/1/1 0:0:0", -5.28, 4.04, -52.60, 4.03, , 4.15, 209.96, 0.87
289999, "2000/1/1 0:0:0", -6.55, 4.02, -65.90, 4.01, , 4.15, 209.96, 0.87
294999, "2000/1/1 0:0:0", -5.17, 4.04, -52.40, 4.04, , 4.15, 209.96, 0.87
299999, "2000/1/1 0:0:0", -5.17, 4.04, -53.10, 4.04, , 4.15, 209.96, 0.87
304999, "2000/1/1 0:0:0", -5.24, 4.04, -52.10, 4.04, , 4.15, 209.96, 0.87
309999, "2000/1/1 0:0:0", -5.24, 4.04, -52.30, 4.03, , 4.15, 209.96, 0.87
314999, "2000/1/1 0:0:0", -6.68, 4.02, -66.20, 4.01, , 4.15, 209.96, 0.87
319998, "2000/1/1 0:0:0", -5.28, 4.04, -52.60, 4.03, , 4.15, 209.96, 0.87
325000, "2000/1/1 0:0:0", -5.24, 4.04, -52.80, 4.03, , 4.15, 209.96, 0.87
330000, "2000/1/1 0:0:0", -5.17, 4.04, -52.40, 4.04, , 4.15, 209.96, 0.87
334999, "2000/1/1 0:0:0", -5.23, 4.04, -52.50, 4.03, , 4.15, 209.96, 0.87
339999, "2000/1/1 0:0:0", -6.63, 4.01, -66.60, 4.01, , 4.15, 205.08, 0.85
344999, "2000/1/1 0:0:0", -5.22, 4.04, -52.00, 4.03, , 4.15, 209.96, 0.87
350000, "2000/1/1 0:0:0", -5.24, 4.04, -52.70, 4.03, , 4.15, 209.96, 0.87
354999, "2000/1/1 0:0:0", -6.52, 4.02, -66.40, 4.01, , 4.15, 205.08, 0.85
359998, "2000/1/1 0:0:0", -5.18, 4.04, -51.70, 4.03, , 4.15, 209.96, 0.87
364999, "2000/1/1 0:0:0", -5.31, 4.04, -53.20, 4.03, , 4.15, 209.96, 0.87
369999, "2000/1/1 0:0:0", -5.18, 4.04, -52.70, 4.04, , 4.15, 209.96, 0.87
374999, "2000/1/1 0:0:0", -5.24, 4.04, -52.40, 4.03, , 4.15, 209.96, 0.87
379999, "2000/1/1 0:0:0", -6.70, 4.01, -65.30, 4.01, , 4.15, 205.08, 0.85
384999, "2000/1/1 0:0:0", -5.22, 4.04, -52.00, 4.03, , 4.15, 209.96, 0.87
389999, "2000/1/1 0:0:0", -5.30, 4.04, -52.40, 4.04, , 4.15, 209.96, 0.87
394998, "2000/1/1 0:0:0", -5.21, 4.04, -51.90, 4.03, , 4.15, 205.08, 0.85
399998, "2000/1/1 0:0:0", -5.24, 4.04, -52.50, 4.03, , 4.15, 209.96, 0.87
404999, "2000/1/1 0:0:0", -6.59, 4.01, -65.70, 4.01, , 4.15, 205.08, 0.85
409999, "2000/1/1 0:0:0", -5.26, 4.05, -52.50, 4.04, , 4.20, 234.38, 0.98
414999, "2000/1/1 0:0:0", -5.25, 4.05, -52.70, 4.04, , 4.20, 234.38, 0.98
419998, "2000/1/1 0:0:0", -6.37, 4.02, -65.50, 4.01, , 4.17, 229.49, 0.96
424999, "2000/1/1 0:0:0", -5.23, 4.05, -52.70, 4.04, , 4.20, 234.38, 0.98
429999, "2000/1/1 0:0:0", -6.59, 4.02, -66.30, 4.02, , 4.17, 229.49, 0.96
434999, "2000/1/1 0:0:0", -5.18, 4.05, -52.50, 4.04, , 4.20, 234.38, 0.98
439999, "2000/1/1 0:0:0", -5.25, 4.05, -52.90, 4.04, , 4.20, 234.38, 0.98
444999, "2000/1/1 0:0:0", -6.66, 4.02, -65.80, 4.01, , 4.17, 229.49, 0.96
449999, "2000/1/1 0:0:0", -5.27, 4.05, -52.60, 4.05, , 4.20, 234.38, 0.98
454999, "2000/1/1 0:0:0", -5.26, 4.05, -52.90, 4.04, , 4.20, 234.38, 0.98
460000, "2000/1/1 0:0:0", -5.18, 4.05, -52.70, 4.05, , 4.20, 234.38, 0.98
465000, "2000/1/1 0:0:0", -5.28, 4.05, -52.50, 4.05, , 4.20, 234.38, 0.98
469999, "2000/1/1 0:0:0", -6.59, 4.02, -66.50, 4.02, , 4.17, 229.49, 0.96
474999, "2000/1/1 0:0:0", -5.39, 4.05, -52.70, 4.04, , 4.20, 229.49, 0.96
479998, "2000/1/1 0:0:0", -5.29, 4.05, -52.50, 4.04, , 4.20, 229.49, 0.96
485000, "2000/1/1 0:0:0", -5.25, 4.05, -52.30, 4.05, , 4.20, 229.49, 0.96
489999, "2000/1/1 0:0:0", -5.20, 4.05, -52.40, 4.05, , 4.17, 234.38, 0.98
494999, "2000/1/1 0:0:0", -6.64, 4.02, -66.60, 4.02, , 4.17, 229.49, 0.96
499999, "2000/1/1 0:0:0", -5.19, 4.05, -52.50, 4.05, , 4.20, 229.49, 0.96
504999, "2000/1/1 0:0:0", -5.24, 4.05, -52.90, 4.04, , 4.17, 229.49, 0.96
510000, "2000/1/1 0:0:0", -6.58, 4.02, -66.00, 4.01, , 4.17, 229.49, 0.96
514999, "2000/1/1 0:0:0", -5.26, 4.05, -52.40, 4.05, , 4.20, 229.49, 0.96
519999, "2000/1/1 0:0:0", -5.38, 4.05, -52.90, 4.05, , 4.17, 229.49, 0.96
524999, "2000/1/1 0:0:0", -5.20, 4.05, -52.80, 4.05, , 4.17, 229.49, 0.96
529998, "2000/1/1 0:0:0", -5.29, 4.05, -53.20, 4.04, , 4.20, 229.49, 0.96
534999, "2000/1/1 0:0:0", -6.60, 4.02, -66.10, 4.01, , 4.17, 229.49, 0.96
539999, "2000/1/1 0:0:0", -5.24, 4.05, -52.30, 4.04, , 4.17, 229.49, 0.96
544999, "2000/1/1 0:0:0", -5.27, 4.05, -52.50, 4.04, , 4.17, 229.49, 0.96
549999, "2000/1/1 0:0:0", -5.19, 4.05, -52.80, 4.04, , 4.20, 229.49, 0.96
554999, "2000/1/1 0:0:0", -5.23, 4.05, -52.80, 4.04, , 4.17, 229.49, 0.96
560000, "2000/1/1 0:0:0", -6.69, 4.02, -65.90, 4.01, , 4.17, 229.49, 0.96
565000, "2000/1/1 0:0:0", -5.25, 4.05, -52.10, 4.04, , 4.20, 229.49, 0.96
